Overview,,,,,,
Filename,Sprout Count,Critical Value,Total Branch Count,Branching Factor,Auxiliary Branch Count,Average Troc
5_13_13_9.18_A2_1,3.2951807229,332,7.4986934277,2.2756546782,4.2035127048,352.8571428571
5_13_13_9.18_A2_2,4.5511111111,225,6.6688521978,1.4653239692,2.1177410867,352.1666666667
5_13_13_9.18_A2_3,6.0421940928,237,9.6932960305,1.6042675693,3.6511019377,287.1111111111
A2 Averages,4.6294953089,264.6666666667,7.9536138853,1.7817487389,3.3241185764,330.7116402116
,,,,,,
5_13_13_9.18_A3_1,8.2689393939,264,15.8663307617,1.9187866794,7.5973913677,330.5333333333
5_13_13_9.18_A3_2,8.9945054945,182,13.4552814049,1.4959445423,4.4607759104,335
5_13_13_9.18_A3_3,7.1139240506,237,11.7586879699,1.6529116541,4.6447639192,322.7272727273
A3 Averages,8.1615770833,236.75,14.2366577245,1.7466073888,6.0750806413,329.6984848485
,,,,,,
5_13_13_9.18_A4_1,9.5045454545,220,19.4182122131,2.0430448048,9.9136667585,279.2105263158
5_13_13_9.18_A4_2,5.8258706468,402,8.3776247323,1.4380039037,2.5517540855,443.25
5_13_13_9.18_A4_3,8.1833333333,300,14.5675411299,1.7801475922,6.3842077965,372.7692307692
A4 Averages,7.8379164782,307.3333333333,14.1211260251,1.7537321002,6.2832095469,365.076585695
,,,,,,
5_13_13_9.18_A5_1,7.6769911504,226,15.7186491547,2.0475012732,8.0416580043,308.6428571429
5_13_13_9.18_A5_2,7.1316872428,243,11.7285921564,1.6445746647,4.5969049136,314.6363636364
5_13_13_9.18_A5_3,6.3155737705,244,16.3247418996,2.5848390808,10.0091681292,301.25
A5 Averages,7.0414173879,237.6666666667,14.5906610703,2.0923050062,7.5492436824,308.1764069264
,,,,,,
5_13_13_9.18_A6_2,3.8357487923,207,17.795932598,4.6394937629,13.9601838057,235.6470588235
5_13_13_9.18_A6_3,4.0214592275,233,7.3572896215,1.8295074512,3.3358303941,312.4285714286
A6 Averages,3.9286040099,220,12.5766111098,3.2345006071,8.6480070999,274.0378151261
,,,,,,
5_13_13_9.18_A7_1,8.2553191489,235,19.235091645,2.3300239879,10.979772496,315.3157894737
5_13_13_9.18_A7_2,2.88671875,256,4.4636422595,1.5462684958,1.5769235095,294.5
5_13_13_9.18_A7_3,7.7758112094,339,11.6584996133,1.4993290474,3.8826884038,396.125
A7 Averages,6.3059497028,276.6666666667,11.7857445059,1.7918738437,5.4797948031,335.3135964912
,,,,,,
5_13_13_9.18_A8_1,7.5517241379,261,12.3125379881,1.6304274048,4.7608138502,347.25
5_13_13_9.18_A8_2,5.7605042017,238,9.4395231474,1.6386626616,3.6790189457,293.25
5_13_13_9.18_A8_3,6.1594202899,138,16.2774193548,2.642686907,10.117999065,164.6875
