method,sprout_count_mse,branching_count_mse
AveragedExtractionTask1.5,3.58160666666667,42.2002733333333
AveragedExtractionTask1.6,4.40690666666667,37.0429066666667
AveragedExtractionTask1.7,5.38763333333333,34.0729666666667
AveragedExtractionTask1.8,5.53948,20.3608133333333
AveragedExtractionTask1.9,6.44930666666667,14.7533066666667
AveragedExtractionTask2.0,7.8404,15.0870666666667
AveragedExtractionTask2.1,8.9882,14.4055333333333
AveragedExtractionTask2.2,10.4885533333333,15.1445533333333
AveragedExtractionTask2.3,12.41312,13.56112
AveragedExtractionTask2.4,14.0683266666667,13.36166
AveragedExtractionTask2.5,16.1253466666667,14.4880133333333
AveragedExtractionTask2.6,18.2083066666667,15.0803066666667
AveragedExtractionTask2.7,19.7823266666667,16.2263266666667
AveragedExtractionTask2.8,20.9143266666667,16.5849933333333
AveragedExtractionTask2.9,22.0282,17.8015333333333
AveragedExtractionTask3.0,22.69288,20.1062133333333
MedianIntegrationExtractionTask1.5,6.0,37.0666666666667
MedianIntegrationExtractionTask1.6,6.73333333333333,36.7333333333333
MedianIntegrationExtractionTask1.7,7.33333333333333,36.1333333333333
MedianIntegrationExtractionTask1.8,7.26666666666667,20.6
MedianIntegrationExtractionTask1.9,7.93333333333333,14.9333333333333
MedianIntegrationExtractionTask2.0,8.46666666666667,15.2
MedianIntegrationExtractionTask2.1,11.4,16.4
MedianIntegrationExtractionTask2.2,11.7333333333333,15.5333333333333
MedianIntegrationExtractionTask2.3,16.2666666666667,15.6666666666667
MedianIntegrationExtractionTask2.4,16.2666666666667,13.5333333333333
MedianIntegrationExtractionTask2.5,17.2833333333333,13.8833333333333
MedianIntegrationExtractionTask2.6,18.4,13.4666666666667
MedianIntegrationExtractionTask2.7,19.0166666666667,14.0166666666667
MedianIntegrationExtractionTask2.8,19.8,13.7333333333333
MedianIntegrationExtractionTask2.9,20.4833333333333,13.6833333333333
MedianIntegrationExtractionTask3.0,20.3333333333333,15.2666666666667
ThresholdAverageExtractionTask1.5,94.14,237.486666666667
ThresholdAverageExtractionTask1.6,59.792,175.818666666667
ThresholdAverageExtractionTask1.7,21.246,47.446
ThresholdAverageExtractionTask1.8,22.4113333333333,24.878
ThresholdAverageExtractionTask1.9,14.474,25.2473333333333
ThresholdAverageExtractionTask2.0,17.8713333333333,25.9113333333333
ThresholdAverageExtractionTask2.1,16.0646666666667,26.478
ThresholdAverageExtractionTask2.2,14.0453333333333,22.8453333333333
ThresholdAverageExtractionTask2.3,13.256,20.496
ThresholdAverageExtractionTask2.4,11.644,16.9906666666667
ThresholdAverageExtractionTask2.5,12.4346666666667,14.9146666666667
ThresholdAverageExtractionTask2.6,11.7153333333333,11.6486666666667
ThresholdAverageExtractionTask2.7,12.414,9.094
ThresholdAverageExtractionTask2.8,16.4286666666667,11.042
ThresholdAverageExtractionTask2.9,15.9573333333333,10.9706666666667
ThresholdAverageExtractionTask3.0,19.5286666666667,12.9953333333333
ThresholdMedianIntegrationExtractionTask1.5,6.0,37.0666666666667
ThresholdMedianIntegrationExtractionTask1.6,6.73333333333333,36.7333333333333
ThresholdMedianIntegrationExtractionTask1.7,7.33333333333333,36.1333333333333
ThresholdMedianIntegrationExtractionTask1.8,7.26666666666667,20.6
ThresholdMedianIntegrationExtractionTask1.9,7.93333333333333,14.9333333333333
ThresholdMedianIntegrationExtractionTask2.0,8.46666666666667,15.2
ThresholdMedianIntegrationExtractionTask2.1,11.4,16.4
ThresholdMedianIntegrationExtractionTask2.2,11.7333333333333,15.5333333333333
ThresholdMedianIntegrationExtractionTask2.3,16.2666666666667,15.6666666666667
ThresholdMedianIntegrationExtractionTask2.4,16.2666666666667,13.5333333333333
ThresholdMedianIntegrationExtractionTask2.5,17.2833333333333,13.8833333333333
ThresholdMedianIntegrationExtractionTask2.6,18.4,13.4666666666667
ThresholdMedianIntegrationExtractionTask2.7,19.0166666666667,14.0166666666667
ThresholdMedianIntegrationExtractionTask2.8,19.8,13.7333333333333
ThresholdMedianIntegrationExtractionTask2.9,20.4833333333333,13.6833333333333
ThresholdMedianIntegrationExtractionTask3.0,20.3333333333333,15.2666666666667
